αs,params,chi2/dof,ratios_list
0.11577,[ 3.08874 -0.92161 -0.42915],1.9409369571370771,"{'μS_ratio': 1.4326074727034506, 'μJ_ratio': 1.8437072057490753, 'νS_ratio': 1.7913427699573354, 'νJ_ratio': 1.760637521563574, 'μH_ratio': 1.5593846285753123, 'bmax_ratio': 0.8318876499119909}"
0.11329,[ 3.07582 -0.94799 -0.46184],1.945795432452361,"{'μS_ratio': 1.1005682773446326, 'μJ_ratio': 1.547781120147543, 'νS_ratio': 1.0835606350187101, 'νJ_ratio': 1.7291475247809576, 'μH_ratio': 1.3977434793322066, 'bmax_ratio': 0.6763645137200449}"
0.11484,[ 3.08022 -0.758   -0.26631],1.9338013950335706,"{'μS_ratio': 1.1116770778286411, 'μJ_ratio': 0.719390925060979, 'νS_ratio': 1.6479359740772639, 'νJ_ratio': 1.5594918102924287, 'μH_ratio': 0.5572488222239397, 'bmax_ratio': 1.363478384997357}"
0.11534,[ 3.08794 -0.79991 -0.25469],1.9661028658744164,"{'μS_ratio': 1.1415442318776925, 'μJ_ratio': 0.7485756711576811, 'νS_ratio': 1.360744054351718, 'νJ_ratio': 1.9154285825573676, 'μH_ratio': 1.215230541574001, 'bmax_ratio': 0.7543401160077395}"
0.11291,[ 3.07052 -0.90418 -0.45814],1.9503317673501495,"{'μS_ratio': 0.9210327977868052, 'μJ_ratio': 1.665097486712227, 'νS_ratio': 1.3375362820412584, 'νJ_ratio': 0.8833581492576769, 'μH_ratio': 1.798120208515419, 'bmax_ratio': 0.7103401517503163}"
0.11841,[ 2.97894 -0.88351 -0.28676],1.9286329414041659,"{'μS_ratio': 1.6876511911133643, 'μJ_ratio': 1.037233453265496, 'νS_ratio': 1.3667313199245086, 'νJ_ratio': 1.093672274853986, 'μH_ratio': 0.670923490587499, 'bmax_ratio': 0.9459724927115051}"
0.1137,[ 3.07833 -0.8898  -0.41453],1.9390523055602151,"{'μS_ratio': 1.02258940025194, 'μJ_ratio': 1.2649490650342865, 'νS_ratio': 1.6225334154288324, 'νJ_ratio': 0.9920479776909623, 'μH_ratio': 0.6592519354762367, 'bmax_ratio': 0.8258135814068854}"
0.11257,[ 3.05946 -0.85919 -0.47676],1.9589438741764116,"{'μS_ratio': 0.7030800918285487, 'μJ_ratio': 1.3670432482828527, 'νS_ratio': 0.5509175677145113, 'νJ_ratio': 1.040517582637794, 'μH_ratio': 1.2288793133548745, 'bmax_ratio': 1.005928563229011}"
0.11329,[ 3.06417 -0.73691 -0.2521 ],1.9163065365520586,"{'μS_ratio': 0.5009897232329857, 'μJ_ratio': 0.6859951801991563, 'νS_ratio': 0.8446872677892499, 'νJ_ratio': 0.7283547352733135, 'μH_ratio': 0.5034313152321391, 'bmax_ratio': 0.7949191532889872}"
0.11471,[ 3.08344 -0.91488 -0.42084],1.9455147872374299,"{'μS_ratio': 1.2117515824882943, 'μJ_ratio': 1.5755067659094057, 'νS_ratio': 1.3274819509357996, 'νJ_ratio': 0.7313151275802489, 'μH_ratio': 1.5605891246128416, 'bmax_ratio': 0.6905632425627395}"
0.11623,[ 3.11469 -0.95074 -0.2118 ],2.009304586241695,"{'μS_ratio': 1.5013111620744461, 'μJ_ratio': 0.7541454428573087, 'νS_ratio': 0.7558771283823679, 'νJ_ratio': 0.501018288934622, 'μH_ratio': 1.1627295492787009, 'bmax_ratio': 0.7277825047648105}"
0.11735,[ 3.08881 -0.903   -0.40609],1.9378842838771233,"{'μS_ratio': 1.6549789388484093, 'μJ_ratio': 1.8183209853702222, 'νS_ratio': 1.1159068829870145, 'νJ_ratio': 1.5741843938668105, 'μH_ratio': 1.9464413257652837, 'bmax_ratio': 0.7608563771887784}"
0.11658,[ 3.0825  -0.88648 -0.38567],1.9364818090685476,"{'μS_ratio': 1.4533188481524122, 'μJ_ratio': 1.2241537324251617, 'νS_ratio': 1.394025121257668, 'νJ_ratio': 1.5364409619307313, 'μH_ratio': 1.5127988985497725, 'bmax_ratio': 1.0206045716236183}"
0.11578,[ 3.09888 -0.89225 -0.24988],1.9677360355931592,"{'μS_ratio': 1.3071774888304262, 'μJ_ratio': 0.7974171172119096, 'νS_ratio': 1.9200571158494506, 'νJ_ratio': 1.0196617079361807, 'μH_ratio': 0.8391472815283608, 'bmax_ratio': 0.8631940995772175}"
0.11333,[ 3.07374 -0.80433 -0.31077],1.922292762289365,"{'μS_ratio': 0.9490913849907804, 'μJ_ratio': 0.6608750254984841, 'νS_ratio': 0.8945897811401109, 'νJ_ratio': 0.5108642975734646, 'μH_ratio': 0.514987359638467, 'bmax_ratio': 0.8180332487287028}"
0.11324,[ 3.07546 -0.92339 -0.4477 ],1.9539965517134468,"{'μS_ratio': 0.9863940401018384, 'μJ_ratio': 1.7543809241751094, 'νS_ratio': 1.8048081695865767, 'νJ_ratio': 1.1824292326092238, 'μH_ratio': 1.215499400683189, 'bmax_ratio': 1.2228018893156034}"
0.11381,[ 3.07835 -0.88076 -0.39628],1.9492266484874006,"{'μS_ratio': 0.9823886099756067, 'μJ_ratio': 1.1949022171024466, 'νS_ratio': 1.1250177265594492, 'νJ_ratio': 0.6441408537337421, 'μH_ratio': 1.6233440659327645, 'bmax_ratio': 0.7486935808505564}"
0.11399,[ 3.07911 -0.87748 -0.38257],1.942738801460681,"{'μS_ratio': 1.0516217209346812, 'μJ_ratio': 0.9671668850787639, 'νS_ratio': 0.8275666629389407, 'νJ_ratio': 1.1547498362067234, 'μH_ratio': 1.7175242960725072, 'bmax_ratio': 0.7214886449318167}"
0.11323,[ 3.06166 -0.73204 -0.24786],1.9548769461557984,"{'μS_ratio': 0.595683423673217, 'μJ_ratio': 0.5558064032308386, 'νS_ratio': 0.5618868923594132, 'νJ_ratio': 0.5888197371036189, 'μH_ratio': 0.6262361694293249, 'bmax_ratio': 1.1098855618439631}"
0.11697,[ 3.08523 -0.89417 -0.39517],1.9410873756645803,"{'μS_ratio': 1.512454783501846, 'μJ_ratio': 1.3253324346832545, 'νS_ratio': 1.4373181813129072, 'νJ_ratio': 1.8419948215667137, 'μH_ratio': 1.0697507389090946, 'bmax_ratio': 0.8111732238773248}"
0.11929,[ 3.05805 -0.83197 -0.31816],1.948504960288216,"{'μS_ratio': 1.7080341621154973, 'μJ_ratio': 1.3609572955760276, 'νS_ratio': 0.9154478488402259, 'νJ_ratio': 0.6480702270415185, 'μH_ratio': 0.8899718900318485, 'bmax_ratio': 1.1357674931539326}"
0.11478,[ 3.08572 -0.93158 -0.44146],1.941140344081776,"{'μS_ratio': 1.2920419364182063, 'μJ_ratio': 1.8723172063078022, 'νS_ratio': 1.1730283804826687, 'νJ_ratio': 0.7560289306521092, 'μH_ratio': 1.903471771291743, 'bmax_ratio': 1.3593185809891886}"
0.11201,[ 3.08394 -0.91804 -0.42259],1.941086097885831,"{'μS_ratio': 0.7486021853780542, 'μJ_ratio': 1.1932725859086872, 'νS_ratio': 0.6060040031291414, 'νJ_ratio': 0.5185689891383022, 'μH_ratio': 0.6456220032264872, 'bmax_ratio': 1.2604186167314084}"
0.11301,[ 3.0718  -0.90761 -0.45435],1.9460480888705962,"{'μS_ratio': 0.9610739682776511, 'μJ_ratio': 1.506941733669937, 'νS_ratio': 1.7574091110105932, 'νJ_ratio': 1.6820950667780359, 'μH_ratio': 1.7473643558599663, 'bmax_ratio': 1.1742615443256006}"
0.11288,[ 3.06781 -0.77993 -0.28955],1.9357801793378127,"{'μS_ratio': 0.5806280468083649, 'μJ_ratio': 0.637393773398096, 'νS_ratio': 0.5111927901741109, 'νJ_ratio': 0.5324008655850725, 'μH_ratio': 0.5779587460651159, 'bmax_ratio': 1.230020602045818}"
0.11743,[ 3.08988 -0.90465 -0.40812],1.9389572222854237,"{'μS_ratio': 1.6294868650784773, 'μJ_ratio': 1.921583873671726, 'νS_ratio': 1.8867523378467632, 'νJ_ratio': 1.2733199903897334, 'μH_ratio': 1.6140585703532748, 'bmax_ratio': 0.6899599740633936}"
0.11306,[ 3.07158 -0.87316 -0.44202],1.9523613540240723,"{'μS_ratio': 0.8454475485209481, 'μJ_ratio': 1.3020249529911758, 'νS_ratio': 1.348417102943077, 'νJ_ratio': 1.435078840916977, 'μH_ratio': 0.8138438844501884, 'bmax_ratio': 0.9437569172208504}"
0.11554,[ 3.09989 -0.92074 -0.27243],1.9643107598147267,"{'μS_ratio': 1.3234841379678448, 'μJ_ratio': 0.85372529574352, 'νS_ratio': 1.199447342552035, 'νJ_ratio': 0.6054984017799389, 'μH_ratio': 1.4380246264723857, 'bmax_ratio': 1.0731688322071515}"
0.11568,[ 3.18277 -1.09657 -0.222  ],2.0571868309318044,"{'μS_ratio': 1.6612758760091217, 'μJ_ratio': 0.8631231299543406, 'νS_ratio': 1.2043390261749876, 'νJ_ratio': 0.6959720904343112, 'μH_ratio': 1.2939621137790256, 'bmax_ratio': 0.8555406372264761}"
